Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Circ.,Feret,Skew,Kurt,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Result
76964,144.781,42,243,142,135.500,138.003,134.041,1110,0.785,392.552,-0.044,-1.405,0,0,136.342,271,1.048,0.954,1.000,irregular
121720,69.513,6,255,179,170,183.530,163.835,1396,0.785,493.725,1.224,-0.084,0,0,136.477,340,1.053,0.950,1.000,circular
79132,137.971,38,255,146,135.500,147.555,135.274,1126,0.784,398.378,0.496,-0.950,0,0,137.136,271,1.077,0.928,1.000,circular
113076,158.155,47,255,174.500,162,173.554,159.797,1346,0.784,476.211,0.214,-1.021,0,0,137.127,324,1.077,0.928,1.000,circular
76986,155.817,54,255,141,136.500,141.870,140.171,1110,0.785,392.496,0.196,-1.262,0,0,135.929,273,1.033,0.968,1.000,circular
127385,127.655,29,255,182.500,174.500,188.628,169.214,1428,0.785,505.001,0.461,-0.921,0,0,136.284,349,1.046,0.956,1.000,circular
73377,151.894,39,255,139.500,131.500,136.398,138.259,1084,0.785,383.419,0.129,-1.501,0,0,136.691,263,1.061,0.943,1.000,circular
119952,73.487,9,255,178.500,168,186.427,161.984,1386,0.785,490.250,1.216,-0.126,0,0,136.736,336,1.062,0.941,1.000,circular
114840,92.461,18,255,174,165,171.837,164.568,1356,0.785,479.587,0.958,-0.721,0,0,136.521,330,1.055,0.948,1.000,circular
111834,81.714,17,255,171,163.500,172.838,160.252,1338,0.785,473.173,1.047,-0.550,0,0,136.284,327,1.046,0.956,1.000,circular
4761,114.771,50,205,34.500,34.500,37.209,33.628,276,0.785,97.581,0.091,-1.630,0,0,135,69,1.000,1.000,1.000,circular
69870,148.728,38,255,137,127.500,135.942,132.861,1058,0.784,374.301,0.134,-1.454,0,0,137.057,255,1.075,0.931,1.000,circular
96990,91.944,18,255,159,152.500,165.233,138.654,1246,0.785,440.623,1.011,-0.575,0,0,136.195,305,1.043,0.959,1.000,circular
87264,146.488,42,255,151.500,144,149.894,149.419,1182,0.785,418.035,0.191,-1.517,0,0,136.454,288,1.052,0.950,1.000,circular
89096,160.737,55,255,150.500,148,149.571,152.949,1194,0.785,422.158,0.128,-1.391,0,0,135.480,296,1.017,0.983,1.000,circular
105840,140.052,59,255,168,157.500,167.246,160.834,1302,0.785,460.566,0.622,-0.809,0,0,136.848,315,1.067,0.938,1.000,circular
112871,139.646,0,255,170.500,165.500,169.309,168.925,1344,0.785,475.228,0.463,-1.161,0,0,135.853,331,1.030,0.971,1.000,circular
115584,101.264,18,255,172,168,174.622,164.816,1360,0.785,480.866,0.997,-0.359,0,0,135.674,336,1.024,0.977,1.000,circular
118624,100.245,15,255,176,168.500,177.157,163.859,1378,0.785,487.312,1.019,-0.256,0,0,136.247,337,1.045,0.957,1.000,circular
102060,91.171,15,255,162,157.500,168.546,154.771,1278,0.785,451.886,1.081,-0.309,0,0,135.807,315,1.029,0.972,1.000,circular
124752,92.801,12,255,184,169.500,187.778,161.617,1414,0.784,500.345,0.989,-0.285,0,0,137.349,339,1.086,0.921,1.000,circular
20300,118.479,54,211,72.500,70,71.706,69.846,570,0.785,201.556,0.498,-1.562,0,0,136.005,140,1.036,0.966,1.000,circular
102714,93.127,18,255,161.500,159,162.487,157.474,1282,0.785,453.269,1.093,-0.323,0,0,135.447,318,1.016,0.985,1.000,circular
