Angular Second Moment,Contrast,Correlation,Inverse Difference Moment,Entropy,Sum of all GLCM elements,Result
0.001,114.312,3.036E-4,0.390,7.498,1.000,homogeneous
0.012,152.123,1.659E-4,0.491,6.021,1.000,homogeneous
0.001,170.617,3.073E-4,0.422,7.431,1.000,heterogeneous
0.006,188.360,2.983E-4,0.343,7.767,1.000,heterogeneous
0.002,198.826,2.880E-4,0.455,7.323,1.000,heterogeneous
6.747E-4,154.594,2.518E-4,0.331,7.869,1.000,heterogeneous
0.004,208.021,2.040E-4,0.462,7.212,1.000,heterogeneous
0.012,157.517,1.580E-4,0.486,5.982,1.000,homogeneous
0.008,173.259,1.541E-4,0.503,6.324,1.000,homogeneous
0.008,155.890,1.664E-4,0.487,6.235,1.000,homogeneous
0.006,436.902,3.572E-4,0.451,6.375,1.000,homogeneous
0.003,206.990,2.057E-4,0.444,7.346,1.000,heterogeneous
0.019,191.240,1.416E-4,0.509,5.930,1.000,homogeneous
0.003,188.530,1.947E-4,0.497,7.065,1.000,homogeneous
0.006,194.782,2.519E-4,0.521,6.952,1.000,homogeneous
0.002,146.762,3.367E-4,0.472,7.075,1.000,homogeneous
0.002,154.626,2.506E-4,0.464,7.248,1.000,heterogeneous
0.002,160.041,2.147E-4,0.389,7.289,1.000,heterogeneous
0.002,157.440,2.051E-4,0.375,7.282,1.000,heterogeneous
0.003,169.117,2.048E-4,0.403,7.071,1.000,heterogeneous
0.002,140.513,2.145E-4,0.364,7.356,1.000,heterogeneous
0.011,306.377,2.415E-4,0.590,5.766,1.000,homogeneous
0.003,166.795,1.979E-4,0.411,6.955,1.000,heterogeneous
0.003,142.578,2.125E-4,0.456,6.788,1.000,heterogeneous
0.002,167.007,2.291E-4,0.394,7.332,1.000,heterogeneous
0.002,166.504,2.366E-4,0.411,7.341,1.000,heterogeneous
0.003,148.351,2.150E-4,0.406,7.125,1.000,heterogeneous
0.003,161.449,2.290E-4,0.389,7.196,1.000,heterogeneous
0.003,150.486,2.892E-4,0.427,7.258,1.000,homogeneous
0.001,137.478,3.406E-4,0.454,7.243,1.000,homogeneous
0.003,151.895,5.125E-4,0.451,7.039,1.000,homogeneous
0.001,134.784,4.818E-4,0.440,7.134,1.000,homogeneous
0.010,174.479,2.466E-4,0.600,5.723,1.000,homogeneous
0.010,157.858,1.583E-4,0.482,6.006,1.000,homogeneous
0.010,146.919,1.842E-4,0.510,6.109,1.000,homogeneous
0.011,163.544,1.483E-4,0.484,6.146,1.000,homogeneous
0.009,157.157,1.576E-4,0.474,6.137,1.000,homogeneous
0.008,148.394,1.596E-4,0.466,6.150,1.000,homogeneous
0.001,139.872,2.883E-4,0.447,7.307,1.000,homogeneous
0.004,336.084,3.935E-4,0.452,6.539,1.000,homogeneous
0.011,249.052,2.479E-4,0.593,5.899,1.000,homogeneous
0.016,116.254,2.451E-4,0.629,5.634,1.000,homogeneous
